PCSK9_ex01_01	chr1	55504544	55504573	55504894	55504923
PCSK9_ex01_02	chr1	55504710	55504739	55505062	55505091
PCSK9_ex01_03	chr1	55505018	55505047	55505290	55505319
PCSK9_ex01_04	chr1	55505191	55505220	55505510	55505539
PCSK9_ex01_05	chr1	55505418	55505447	55505759	55505775
PCSK9_ex02_01	chr1	55509458	55509482	55509759	55509788
PCSK9_ex03_01	chr1	55512088	55512117	55512447	55512476
PCSK9_ex04_01	chr1	55517898	55517925	55518206	55518235
PCSK9_ex05_01	chr1	55518207	55518236	55518500	55518518
PCSK9_ex06_01	chr1	55521520	55521549	55521867	55521883
PCSK9_ex07_01	chr1	55522942	55522971	55523237	55523266
PCSK9_ex08_01	chr1	55523554	55523583	55523914	55523943
PCSK9_ex09_01	chr1	55524087	55524116	55524404	55524433
PCSK9_ex10_01	chr1	55525091	55525120	55525399	55525428
PCSK9_ex11_01	chr1	55526988	55527017	55527262	55527281
PCSK9_ex12_01	chr1	55528956	55528985	55529291	55529309
APOB_ex26_04	chr2	21228609	21228634	21228921	21228950
APOB_ex26_03	chr2	21228789	21228818	21229116	21229145
APOB_ex26_02	chr2	21229049	21229078	21229345	21229374
APOB_ex26_01	chr2	21229231	21229260	21229559	21229586
ADH_control4	chr4	23924356	23924385	23924655	23924684
ADH_control13	chr4	23995740	23995769	23996012	23996041
ADH_control1	chr5	63024797	63024826	63025029	63025058
ADH_control17	chr5	63076195	63076224	63076526	63076555
ADH_control2	chr6	17046109	17046138	17046358	17046387
ADH_control12	chr6	17096479	17096508	17096819	17096848
LDLR_ex10_01	chr19	11224135	11224151	11224469	11224490
ADH_control6	chr8	59898878	59898907	59899231	59899260
ADH_control8	chr8	59958207	59958236	59958488	59958517
ADH_control3	chr11	15725652	15725681	15725926	15725955
ADH_control11	chr11	126570877	126570906	126571216	126571245
ADH_control16	chr11	126626524	126626553	126626817	126626846
ADH_control10	chr12	1520378	1520407	1520694	1520723
ADH_control14	chr12	1550756	1550785	1551034	1551063
ADH_control5	chr13	71777540	71777569	71777841	71777870
ADH_control18	chr13	71823287	71823316	71823640	71823669
ADH_control7	chr14	28970537	28970566	28970774	28970803
ADH_control15	chr14	28972753	28972782	28973040	28973069
LDLR_ex01_01	chr19	11199603	11199632	11199925	11199954
LDLR_ex01_02	chr19	11199808	11199837	11200106	11200135
LDLR_ex01_03	chr19	11200058	11200087	11200362	11200391
LDLR_ex02_01	chr19	11210844	11210868	11211200	11211229
LDLR_ex03_01	chr19	11213283	11213304	11213558	11213587
LDLR_ex04_01	chr19	11215814	11215843	11216150	11216179
LDLR_ex04_02	chr19	11216029	11216058	11216360	11216389
LDLR_ex05_01	chr19	11217166	11217195	11217415	11217444
LDLR_ex06_01	chr19	11217997	11218026	11218265	11218294
LDLR_ex07_01	chr19	11221267	11221296	11221578	11221607
LDLR_ex08_01	chr19	11222122	11222151	11222447	11222476
LDLR_ex09_01	chr19	11223882	11223911	11224159	11224180
LDLR_ex11_01	chr19	11226637	11226666	11226939	11226968
LDLR_ex12_01	chr19	11227400	11227429	11227745	11227774
LDLR_ex13_01	chr19	11230697	11230726	11230993	11231022
LDLR_ex14_01	chr19	11230952	11230981	11231225	11231245
LDLR_ex15_01	chr19	11233788	11233817	11234126	11234155
LDLR_ex16_01	chr19	11238582	11238611	11238845	11238874
LDLR_ex17_01	chr19	11240128	11240157	11240420	11240449
LDLR_ex18_01	chr19	11241812	11241841	11242063	11242092
APOE_ex01_01	chr19	45408637	45408666	45408912	45408941
APOE_ex01_02	chr19	45408812	45408841	45409136	45409165
APOE_ex02_01	chr19	45409658	45409687	45409970	45409999
APOE_ex03_01	chr19	45410965	45410984	45411267	45411296
APOE_ex04_01	chr19	45411742	45411759	45412086	45412104
APOE_ex04_02	chr19	45412051	45412068	45412390	45412419
APOE_ex04_03	chr19	45412319	45412348	45412633	45412662
